organization,program,program_type,source,status_note,date_note,funding_range,max_amount,website,apply_url,industry_category,sector_tags,description,review_required,review_notes
500 Global,500 Global,accelerator,excel_accelerators,진행중,,"$112.5k for 6% Accepting applications for Batch 37 now.
Batch 37 starts: Q1 2026.",,https://500.co/,,Web2,,Focus: Web2,no,
Accel,Atoms,accelerator,excel_accelerators,진행중,,up to $500k–$1M,,https://atoms.accel.com/,,Web2,,Focus: Web2,no,
Afore Capital,Afore Capital,accelerator,excel_accelerators,진행중,,$100k–$500k,,https://www.afore.vc/,,Web2,,Focus: Web2,no,
AI,AI Grant,accelerator,excel_accelerators,진행중,,$250k uncapped,,http://aigrant.com/,,Web2,,Focus: Web2,no,
ai2incubator.,ai2incubator.,accelerator,excel_accelerators,,,"1000만 달러 상한선으로 최대 60만 달러의 자금 지원으로, 방해받지 않고 고용, 건설 및 실험할 수 있는 초기 활주로를 제공합니다.
클라우드 컴퓨팅
최대 1,000,000달러의 무료 비희석 클라우드 크레딧으로 모델을 훈련하고, 실험을 실행하고, 첫날부터 인프라를 확장할 수 있습니다.
협업 및 코칭
12개월의 심층적인 회사 구축과 스핀아웃 후 정기적인 동문 지원, 실제 창업자의 도전에 대처하기 위해 전문가들과 함께합니다.
맞춤형 주의
우리는 연간 ~15개의 스타트업을 지원하며(다른 프로그램의 400개 이상에 비해) 의미 있는 일대일 시간, 맞춤형 피드백 및 실습 지원을 받을 수 있도록 보장합니다.
자본 연결
광범위한 VC 및 투자자 네트워크를 통해 의미 있는 벤처 자금을 조달하고, 프로세스에 따뜻한 소개와 모금 지침을 통해.
AI 하우스의 커뮤니티
이벤트, 전문 지식, 그리고 창업자, 연구원, 건축업자들의 번성하는 네트워크를 통해 어려운 AI 및 산업 문제를 해결하는 사람들에게 매일 노출됩니다.
창의적인 디자인
풀스택 디자인은 제품 UX, 웹사이트 및 기금 모금 피치 덱 전반에 걸쳐 복잡한 기술 아이디어를 선명하고 매력적인 내러티브로 바꾸는 데 도움을 줍니다.",,https://www.ai2incubator.com/apply,https://www.ai2incubator.com/apply,,,,no,
Air,Air,accelerator,excel_accelerators,진행중,,"이미 벤처 캐피탈을 조달한 회사를 위해 MFN(유연하게 확대/압소할 수 있음)을 통해 50만 달러의 무상한 SAFE를 목표로 하는 회사 단계에 맞춘 투자
뉴욕시에서의 10주
워크샵, 피드백 세션 및 전문가와의 1:1
같은 생각을 가진 공동체와 함께하는 창의적인 작업 공간
투자자 스피드 런에서 GTM 전략까지 맞춤형 지원",,https://air.collabfund.com/#faq,https://docs.google.com/forms/d/e/1FAIpQLScaFteAdm0Mxn2uWCqLjI_bYXpyA4nHnNOFMJtn3DS46aic6w/viewform,Web2,,Focus: Web2,no,
alchemistaccelerator.,alchemistaccelerator.,accelerator,excel_accelerators,,,"혜택
이 프로그램은 기업 지향적인 창업자와 멘토의 지원 커뮤니티에서 기금 모금과 고객 견인을 위한 구조화된 경로를 제공합니다.

연금술사 설립자들은 다음과 같은 추가 프로그램 요소 중 일부에 접근할 수 있다:

귀사에 가장 적합한 형태(종종 SAFE 또는 이에 상응하는)의 창업자 친화적인 용어에 대한 소액 현금 투자. 설립자들은 평균 투자 수익이 최대 10만 달러에 달할 것으로 예상할 수 있습니다(프로그램의 수업료를 상쇄하기 전). 우리는 프로그램에 필요한 ""수업료"" 비용을 투자 자본으로 상쇄합니다.
클라우드 컴퓨팅, 법률 수수료, 마케팅 및 기타 서비스를 포함한 신뢰할 수 있는 Alchemist 파트너의 독점 크레딧 및 할인. 이러한 특전의 총 가치는 $450,000 이상입니다. 대부분의 연금술사 회사에서 사용하는 특전의 평균 가치는 175,000달러입니다.
Alchemist의 멘토, 투자자, 고객 및 동문으로 구성된 독점 네트워크에 대한 영구적인 액세스.
일본 프로그램 졸업생들은 도쿄 프로그램 직후 미국 샌프란시스코에서 6개월 프로그램에 참여할 것으로 예상됩니다.",,https://www.alchemistaccelerator.com/blog/alchemist-japan-announces-nine-selected-companies-from-around-the-world-for-its-second-cohort,,,,,no,
AllianceDao,AllianceDao,accelerator,excel_accelerators,진행중,,,,https://alliance.xyz/apply,https://alliance.xyz/apply,Web3,,Focus: Web3,no,
Amplify.LA,Amplify.LA (AI consumer),accelerator,excel_accelerators,,,,,https://Amplify.LA,,,,,no,
AngelPad,AngelPad,accelerator,excel_accelerators,진행중,,$120k for 7%,,https://angelpad.com/,,Web2,,Focus: Web2,no,
Antler,Antler,accelerator,excel_accelerators,진행중,,€100k for 10% + stipend / $200k–$250k for 8–9%,,https://www.antler.co/,,Web2,,Focus: Web2,no,
APX,APX,accelerator,excel_accelerators,진행중,,"up to €500k, typically €50k for 5%",,https://apx.vc/,,Web2,,Focus: Web2,no,
AWS Generative AI Accelerator,AWS Generative AI Accelerator (2025 cohort 40 companies),accelerator,excel_accelerators,진행중,,Generative AI Accelerator,,https://aws.amazon.com/startups/generative-ai/accelerator/,,Web2,,Focus: Web2,no,
BaseChain,BaseChain,accelerator,excel_accelerators,진행중,,,,https://docs.google.com/forms/d/e/1FAIpQLSeiSAod4PAbXlvvDGtHWu-GqzGpvHYfaTQR2f77AawD7GYc4Q/viewform?pli=1,https://docs.google.com/forms/d/e/1FAIpQLSeiSAod4PAbXlvvDGtHWu-GqzGpvHYfaTQR2f77AawD7GYc4Q/viewform?pli=1,Web3,,Focus: Web3,no,
Berkeley SkyDeck,Berkeley SkyDeck,accelerator,excel_accelerators,진행중,,"약 20개의 스타트업이 6개월마다 선정되어 버클리 스카이덱 펀드로부터 20만 달러의 투자를 받는다. 전 세계의 스타트업은 신청할 수 있으며 지원하도록 권장됩니다. 역사적으로, 스타트업의 약 2/3는 미국 밖에서 설립되었다. UC 계열 기업과 국제 스타트업은 계속해서 SkyDeck의 우선 순위입니다. 글로벌 창업자 프로그램에 대해 자세히 알아보세요.",,https://skydeck.berkeley.edu/apply/,https://airtable.com/appiiqfMh89yrROuv/shrfaNdAKehj8s8vI,Web2,,Focus: Web2,no,
Betaworks,Betaworks,accelerator,excel_accelerators,진행중,,,,https://www.betaworks.com/writing/camp-agent-systems-spring-2026,,Web2,,Focus: Web2 | Submission notes: https://docs.google.com/document/d/1neFEX5lnfMzQeRyG3WGzrJlNq6D1TDRmOBmdYP9RCws/edit?usp=sharing,no,
Boost VC,Boost VC,accelerator,excel_accelerators,진행중,,"up to $500k for 15% .  
Boost VC is proud to introduce the Boost VC Fellowship (an equity based Fellowship), where we will invest $50K at $1.5M Cap into a founder or founders looking to start a new Deep Tech company.",,https://www.boost.vc/?utm_source=substack&utm_medium=email,,Web2,,Focus: Web2,no,
Capital Factory,Capital Factory (Texas AI),accelerator,excel_accelerators,,,,,https://capitalfactory.com/portfolio,,,,,no,
Capital Innovators,Capital Innovators (AI-inclusive),accelerator,excel_accelerators,,,,,https://capitalinnovators.com/portfolio,,,,,no,
CoinMarketCap,CoinMarketCap,accelerator,excel_accelerators,진행중,,,,https://coinmarketcap.com/events/cmc-labs/,https://docs.google.com/forms/d/e/1FAIpQLSeTUxGaMmq1XFZbzfRXrYz-35bNa_LrQhdUL7_8H1sxbCbjzg/viewform,Web2,,Focus: Web2 | Submission notes: https://docs.google.com/document/d/12LOOYISXmtYSGIFHfexX5fwo15wrOpH5l6lF0hsz9sk/edit?usp=sharing,no,
Conception X,Conception X (PhD AI spinouts),accelerator,excel_accelerators,,,,,https://conceptionx.org/portfolio,,,,,no,
Conviction Embed,Conviction Embed,accelerator,excel_accelerators,진행중,,$150k uncapped MFN SAFE,,https://embed.conviction.com/,,Web2,,Focus: Web2,no,
